x,y,z,vx,vy,vz,gmag,bprp
-8.370,0.071,0.024,44.416,216.687,-1.903,4.932,0.862
-8.203,0.005,0.005,20.809,248.973,-10.688,3.990,0.694
-8.239,0.078,0.017,11.199,235.890,-7.413,6.689,1.386
-8.385,-0.041,0.062,9.151,266.182,-8.782,7.683,1.664
-8.298,0.011,0.129,-7.843,209.234,11.821,5.495,0.987
-8.280,0.059,-0.048,-15.026,210.698,-7.203,3.611,0.786
-8.260,0.091,0.041,58.697,247.837,20.520,7.648,1.784
-8.248,-0.054,-0.035,58.128,255.762,24.247,7.733,1.611
-8.214,-0.039,-0.004,-16.809,252.319,46.774,5.697,1.004
-8.307,-0.014,-0.069,-25.019,216.433,-18.725,5.633,0.941
-8.372,0.036,-0.030,-8.063,245.338,1.612,7.996,1.745
-8.218,-0.031,0.077,47.658,242.582,1.632,6.781,1.682
-8.253,0.087,0.017,14.664,235.056,-1.832,0.827,1.182
-8.328,0.014,0.125,-3.110,235.726,-20.963,7.448,1.638
-8.275,-0.094,0.009,2.270,222.621,5.753,6.553,1.457
-8.273,-0.053,-0.050,18.555,255.442,22.256,7.718,1.672
-8.298,0.001,-0.070,-16.789,247.742,-21.654,7.696,1.704
-8.256,0.085,0.004,-44.255,223.546,-33.677,5.381,0.944
-8.240,0.058,-0.025,-126.791,143.598,-5.948,5.776,0.953
-8.351,0.061,-0.030,34.971,192.596,-42.251,6.130,1.075
-8.317,0.067,-0.042,-43.952,196.689,-25.750,8.477,2.374
-8.245,-0.008,-0.053,-44.335,230.903,21.882,2.440,1.193
-8.257,-0.038,0.112,-29.548,220.915,12.589,5.040,1.043
-8.221,-0.032,0.082,7.053,238.426,-21.006,6.736,1.453
-8.214,-0.036,-0.004,34.403,224.632,-1.210,6.138,1.219
-8.347,0.083,0.059,32.978,228.086,4.641,6.156,1.235
